ID,designation_header,strain_number_header,is_type_strain_header,species,pH
164491,HSLZ-75,"JCM 33270, CICC 6269",1,"Acetilactobacillus jinshanensis",3-5
,,,,,4
11,,"DSM 11825, LTH 2458, CIP 105762",1,"Acetobacter pomorum",2.5
168915,,"LMG 30378, CCUG 71558",1,"Achromobacter veterisilvae",4.0-5.0
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile",2.5-5
,,,,,4
133383,SK-11,"DSM 100508, NBRC 111227",1,"Acidicapsa acidisoli",5
142,KA1,"DSM 23886, LMG 25897, VKM B-2678",1,"Acidicapsa borealis",3.5
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",4.5-5
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",3.5
,,,,,4.0-4.5
6149,V6,"DSM 14174, JCM 32253",1,"Acidihalobacter aeolianus",1.5-3
,,,,,1.8
24820,V8,"DSM 14175, JCM 32254",1,"Acidihalobacter ferrooxydans",1-3
,,,,,1.8
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,"Acidimicrobium ferrooxidans",2.0
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",4
,,,,,4.5
67,HS-AP3,"DSM 16009, JCM 10600",1,"Acidisphaera rubrifaciens",4.5-5.0
160797,MG,"DSM 107098, JCM 33084",1,"Acidithiobacillus ferrianus",2
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",2.1
132357,M20,"DSM 100412, JCM 30830",1,"Acidithiobacillus ferriphilus",2
159192,CJ-2,"DSM 105150, KCTC 4683",1,"Acidithiobacillus sulfuriphilus",3
131,161,"DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165, BCRC 80197, IFO 15755, NBRC 15755",1,"Acidobacterium capsulatum",3
133532,"AL46, VTCC-D9-1","NBRC 104303, DSM 108313, VTCC D9-1",1,"Acidocella aluminiidurans",4.5
158255,Ok2G,"DSM 104037, NBRC 112502",1,"Acidocella aquatica",4.5
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",<5.0
16914,N3-7,"DSM 45040, JCM 13278, NRRL B-24429, BCRC 16845, CIP 109251, NBRC 106142, NCIMB 14302",1,"Actinocorallia cavernae",4.1
17634,GE134766,"DSM 44926, NRRL B-24431, JCM 14896, BCRC 16838, NBRC 102107",1,"Actinospica acidiphila",5
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,"Aeriscardovia aeriphila",4.2-4.5
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,"Aeromonas bivalvium",4.5
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,"Aeromonas fluvialis",4.5
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,"Aeromonas molluscorum",4.5
273,"138, AS20/1/1","DSM 21293, ATCC 49393, CCM 4103, CECT 5179, CIP 104757, NCIMB 13210",1,"Aeromonas salmonicida subsp. smithia",4
,,,,,5
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,"Aeromonas sanarellii",4.5
285,A2-50,"DSM 24096, CECT 7403, LMG 24683, CIP 110204",1,"Aeromonas taiwanensis",4.5
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,"Agrilactobacillus yilanensis",5
167490,XY-J91,"MCCC 1K03612, KCTC 72216",1,"Algoriphagus kandeliae",5
414,TA-67,"DSM 14558, IAM 14935, NRIC 0496, JCM 21417, CIP 107723, NBRC 100859, NRIC 6496",1,"Alicyclobacillus acidiphilus",3.0
133505,ZJ-6,"CGMCC 1.7072, NBRC 104953",1,"Alicyclobacillus aeris",3.5
429,3-A191,"DSM 17975, IAM 15224, JCM 21678, NBRC 103102",1,"Alicyclobacillus contaminans",4-4.5
,,,,,4.25
430,S-TAB,"DSM 17978, IAM 15229, JCM 21683, NBRC 103109",1,"Alicyclobacillus fastidiosus",4.0-4.5
,,,,,4.25
435,TC-34,"DSM 22381, CGMCC 1.6357, JCM 15090",1,"Alicyclobacillus ferrooxydans",3
431,5-A83J,"DSM 17979, IAM 15227, JCM 21681, NBRC 103104",1,"Alicyclobacillus kakegawensis",4.0-4.5
,,,,,4.25
432,5A-239-2O-A,"DSM 17980, IAM 15370, JCM 21814",1,"Alicyclobacillus macrosporangiidus",4.0-4.5
,,,,,4.25
158721,USBA-GBX-503,"CMPUJ UGB U503, CBMAI 1927",1,"Alicyclobacillus montanus",1.5-4.5
,,,,,3-4
428,RB-718,"DSM 17974, IAM 15230, JCM 21684, NBRC 103105",1,"Alicyclobacillus sacchari",4.0-4.5
,,,,,4.25
433,4A-336,"DSM 17981, IAM 15226, JCM 21680, NBRC 103103",1,"Alicyclobacillus shizuokensis",4.0-4.5
,,,,,4.25
425,CsHg2,"DSM 16176",1,"Alicyclobacillus vulcanalis",4
166218,MYP11,"KCTC 62899 NBRC 113544",1,"Aliishimia ponticola",5
133618,KYW147,"KCTC 22735, JCM 16339, UCCCB31",1,"Alteraurantiacibacter aestuarii",5.0
140988,BR-75,"CECT 9129, LMG 29518, BR 75, UCCCB41",1,"Altericroceibacterium endophyticum",5.0
140987,CPA5,"CECT 9130, LMG 29519, UCCCB42",1,"Alteriqipengyuania halimionae",5.0
140995,JDTF-113,"KCTC 52655, NBRC 112708",1,"Alteromonas aestuariivivens",5
166423,M8JJ-5,"KCTC 49089, CGMCC 1.16390",1,"Amnibacterium flavum",5
159864,AU-G6,"CGMCC 4.7351, NBRC 112404",1,"Amycolatopsis antarctica",5
158267,SCM_MK2-4,"DSM 107509, JCM 32134, TBRC 7186",1,"Amycolatopsis oliviviridis",4.3
166210,SHSM-M15,"KACC 19862, NBRC 113749",1,"Ancylomarina salipaludis",5
158412,HV_12,"DSM 104128, NRRL B-65472, JCM 33325",1,"Apilactobacillus timberlakei",5
166153,DS48-3,"KCTC 52068, CCTCC AB 2018061",1,"Aquisediminimonas profunda",5
166152,CH68-4,"KCTC 62205, CCTCC AB 2018062",1,"Aquisediminimonas sediminicola",5
24776,"A22/HD/4H, A22_HD_4H","DSM 26555, LMG 27985",1,"Aridibacter famidurans",4
24777,Ac_23_E3,"DSM 26558, LMG 27597",1,"Aridibacter kavangonensis",3.5
133653,AA08,"BCC 12978, TISTR 1524, NBRC 100057, NRIC 0535, JCM 16128, CIP 109097, LMG 23083",1,"Asaia krungthepensis",3.0-3.5
,,,,,3.25
34,S60-1,"DSM 15972, CCM 7132, IFO (now NBRC) 16457, JCM 10715, KCTC 12914, MTCC 4042, NRIC 0323, IFO 16457, NBRC 16457, CIP 107278",1,"Asaia siamensis",3
,,,,,3.5
534,CW5,"DSM 21987, JCM 14755, KCTC 12893",1,"Aureimonas frigidaquae",5.0
139618,PP-WC-4G-234,"DSM 29985, CIP 110892, LMG 28655",1,"Aureimonas galii",5
132997,PP-CE-2G-454,"DSM 102238, CCM 8665, LMG 29411, CIP 111015",1,"Aureimonas pseudogalii",5
533,5715S-12,"DSM 18598, CIP 109815, KACC 11607",1,"Aureimonas ureilytica",4.0
1263,41KF2b,"DSM 21631, JCM 13350, MTCC 7306, BCRC 17879",1,"Bacillus altitudinis",5
1280,m4-4,"DSM 25608, CECT 7197, NRRL B-41737",1,"Bacillus coahuilensis",4.5
158883,KGMB02408,"DSM 107828, KCTC 15687, JCM 34008",1,"Bacteroides faecalis",5
39,,"DSM 23312, CGMCC 1.10758, CPCC 100156",1,"Belnapia rosea",5
1739,BluCI/TP,"DSM 19703, ATCC BAA-1567, KCTC 15159",1,"Bifidobacterium bombi",>4.5
1726,Ru915B,"DSM 6492, ATCC 49391, CCUG 34976, JCM 8219, CGMCC 1.2273, KCTC 3369, KCTC 3423, LMG 11341",1,"Bifidobacterium merycicum",4.5
1738,T16,"DSM 22366, LMG 21775, NCIMB 13940, JCM 15958",1,"Bifidobacterium psychraerophilum",4.0-4.5
1723,Ru687,"DSM 6489, ATCC 49390, CCUG 34975, JCM 8222, CGMCC 1.2241, KCTC 3425, LMG 12588, LMG 21811",1,"Bifidobacterium ruminantium",4.5
158654,RA3-3-1,"KCTC 62140, NBRC 113024",1,"Bizionia berychis",5
23454,"A2-16, A2_16","DSM 25172, LMG 26944",1,"Blastocatella fastidiosa",4
140974,T2,"KCTC 42354, JCM 30467, DSM 112298",1,"Blastomonas fulva",5
132661,KWS-1,"DSM 28796, JCM 30059, MTCC 11836",1,"Brachybacterium aquaticum",5
159799,M1HQ-2,"KCTC 49087, CGMCC 1.16391, JCM 33403",1,"Brachybacterium endophyticum",4
140478,U675,"LMG 30031, BR 6010, CNPSo 1165, SEMIA 6399",1,"Bradyrhizobium mercantei",4.5
1884,SCII24,"DSM 13340, NBRC 102585, CCUG 47104, LMG 18957, UCCCB44",1,"Brucella tritici",3.0
141,,"DSM 22489, LMG 25276, SN 10",1,"Bryocella elongata",3.2
2090,IC-154,"DSM 15908, ANMR 0165, JCM 11604, MCC-UPLB 1331",1,"Caldisphaera lagunensis",3.5-4.0
2140,150B,"CIP 110020, DSM 23162, CCUG 56289, LMG 24588",1,"Campylobacter cuniculorum",4
17637,Aac-30,"DSM 44948, JCM 16000, NBRC 101179",1,"Catenulispora rubra",5
5683,PSD1-4,"DSM 17072, KCTC 12382, NBRC 100864, CCUG 52904, CIP 109194",1,"Chryseobacterium soldanellicola",5
5669,PHA3-4,"CCUG 52900, DSM 17071, KCTC 12381, NBRC 100863, CIP 109195",1,"Chryseobacterium taeanense",5
17843,T49,"DSM 23976, ICMP 18418",1,"Chthonomonas calidirosea",4.5
164372,JN500901,"JCM 32827, CICC 24501",1,"Clostridium fermenticellae",5
133372,ZGM211,"CICC 24070, BCRC 80950",1,"Clostridium guangxiense",5
2626,"McClung 2300, 5","DSM 525, ATCC 6013, IMG 1584b, NCIMB 9486, VKM B-1774, CCUG 31328, JCM 1408, BCRC 10942, CECT 377, KCTC 1674, LMG 3285, LMG 5709, NCFB 1845",1,"Clostridium pasteurianum",4.7
166230,OISW-25,"KCTC 62426, NBRC 113187",1,"Colwellia ponticola",5
140622,YSM-23,"KCTC 52213, NBRC 111994",1,"Colwellia sediminilitoris",5
158653,SB30-Chr27-3,"CIP 111491, CCM 8815, DSM 106034",1,"Comamonas aquatilis",4.5
164661,184-8,"JCM 33821, CCM 8895, KCTC 21131, LMG 31050, NCIMB 15152",1,"Companilactobacillus baiquanensis",5
164662,116-2,"JCM 33822, CCM 8899, KCTC 21124, LMG 31051, NCIMB 15158",1,"Companilactobacillus kedongensis",5
164665,33-7,"JCM 33825, CCM 8936, KCTC 21118, LMG 31166, NCIMB 15153",1,"Companilactobacillus keshanensis",5
164660,256-3,"JCM 33820, CCM 8901, LMG 31048, NCIMB 15160",1,"Companilactobacillus mishanensis",5
164658,M1575,"JCM 33818, CCM 8892, LMG 31045, NCIMB 15149",1,"Companilactobacillus zhongbaensis",5
133399,26D10-3-4,"CFCC 12725, KCTC 33575",1,"Corticicoccus populi",5
166514,GM-16,"KACC 19611, KCTC 62423, NBRC 113192",1,"Croceicoccus ponticola",5
141129,S5,"JCM 30642, VKM B-2941",1,"Cuniculiplasma divulgatum",0.5-4.0
,,,,,1.0-1.2
7324,B55,"DSM 21577, JCM 14609, NBRC 101786, VTCC D6-11, CIP 109639",1,"Curtobacterium ammoniigenes",4
12636,,"LMG 16711, DSM 1897, ATCC 6919, CCUG 1794, JCM 6425, KCTC 3314, NCTC 737, BCRC 10723, CECT 5684, CGMCC 1.5003, CIP 53.117, KCTC 5008, LMG 3591, NBRC 107605, NRRL B-4224, VKM Ac-1450, VPI 0389",1,"Cutibacterium acnes subsp. acnes",4.5-5.0
133242,,"ATCC 11828, JCM 6473, CCUG 6369, BCRC 16146, KCTC 3320, VPI 0391",1,"Cutibacterium acnes subsp. defendens",4.5-5.0
17717,,"DSM 745, ATCC 25205",1,"Cyclobacterium marinum",4
1904,K107,"DSM 21779, CCUG 54520, KCTC 12981",1,"Daeguia caeni",4.5
3855,AG-3a,"DSM 11300, CIP 105573",1,"Deinococcus geothermalis",4.0
3858,ALT-1b,"DSM 11303, CCUG 50777, CIP 105574",1,"Deinococcus murrayi",5.0
133269,KSY3-6,"KCTC 33787, JCM 31313",1,"Deinococcus persicinus",5
133136,GHD-1,"KCTC 52260, NBRC 112299",1,"Demequina litorisediminis",4.5
,,,,,5
158353,3408-1,"DSM 105356, VKM B-3183",1,"Desulfothermobacter acidiphilus",4.5
133163,HJR-2,"KCTC 52211, NBRC 112271",1,"Devosia confluentis",5
166465,"4 G-K06","LMG 30268, GDMCC 1.1188",1,"Dyella monticola",4.5
166464,4MSK11,"KCTC 62280, GDMCC 1.1185",1,"Dyella psychrodurans",5
133,Wbg-1,"DSM 19364, ATCC BAA-1497",1,"Edaphobacter aggregans",4.5
132350,DHF9,"DSM 29920, CGMCC 1.12997",1,"Edaphobacter dinghuensis",4
132,Jbg-1,"DSM 18101, ATCC BAA-1329",1,"Edaphobacter modestus",4.5
166207,MRS2,"KCTC 62904, NBRC 113550",1,"Empedobacter tilapiae",4.5
,,,,,5
166242,63-4,"NCIMB 15178, CCM 8922",1,"Enterococcus dongliensis",5
166241,190-7,"NCIMB 15200, CCM 8949",1,"Enterococcus hulanensis",5
166240,94-2,"NCIMB 15180, CCM 8920, LMG 31180",1,"Enterococcus nangangensis",5
164673,241-2-2,"JCM 33833, CCM 8921, LMG 31181, NCIMB 15185",1,"Enterococcus pingfangensis",5
164674,85-4,"JCM 33834, CCM 8923, LMG 31183, NCIMB 15179",1,"Enterococcus songbeiensis",5
17689,YUAN-3,"DSM 18485, CGMCC 1.5033, JCM 12961",1,"Ethanoligenens harbinense",4.5-5
108,T23,"DSM 19497, ATCC BAA-1647, DSM 11138",1,"Ferrimicrobium acidiphilum",1.4
,,,,,2.0
109,Y005,"DSM 19514, ATCC BAA-1645",1,"Ferrithrix thermotolerans",1.6
,,,,,1.8
140564,R-10-9,"JCM 31673, KACC 18997, KEMB 9005-447",1,"Flavobacterium olei",4-4.5
158690,YSM-43,"KACC 19435, KCTC 62142, NBRC 113020",1,"Flavobacterium sediminilitoris",5
158536,HibF3,"LMG 29831, JCM 31735",1,"Floricoccus penangensis",3
,,,,,5
158537,DF1,"LMG 29833, JCM 31733",1,"Floricoccus tropicus",3
,,,,,5
6864,D-24,"DSM 19113, CCUG 49949, CIP 108761, LAB 1679, LMG 22556, JCM 17831, BCRC 81233, CECT 7089, NRIC 0663",1,"Fructobacillus durionis",3.9
141065,TM-6,"KCTC 42720, CECT 9024",1,"Fulvivirga lutimaris",5
1757,594,"DSM 4944, ATCC 14018, CCUG 3717, NCTC 10915, NCTC 10287, LMG 7832, JCM 11026, BCRC 17040, CIP 70.74, KCTC 5096, LMG 14323",1,"Gardnerella vaginalis",4.5
13657,DCA-1,"DSM 21823, CGMCC 1.7745",1,"Gemmobacter caeni",5
1419,"R-35646, 26","DSM 22, ATCC 12980, CCM 2062, CCUG 26241, IAM 11062, LMG 6939, NBRC 12550, NCIMB 8923, NCTC 10339, VKM B-2231, IFO 12550, NCA 26, JCM 2501, BCRC 11092, CIP 66.23, KCTC 1665, KCTC 1752, NCFB 1768, NRRL B-1172, VKM B-510, VTT E-81128, UCCCB118, NCDO 1768",1,"Geobacillus stearothermophilus",5
,,,,,5.0
1422,"R-35648, 178","DSM 730, BGSC 93, IFO 15316, LMG 19007, NBRC 15316, VKM B-1259",1,"Geobacillus thermocatenulatus",5.0
1433,"LEH-1, R-35636","DSM 5366, ATCC 43513, VKM B-2230",1,"Geobacillus thermoleovorans",5.0
133296,12-2,"DSM 102813, KCTC 52141, NBRC 111987",1,"Gilvimarinus japonicus",5
141066,GHTF-27,"KCTC 52208, NBRC 111992",1,"Christiangramia sediminilitoris",5
138,TPB6028,"DSM 22516, LMG 25274, VKM B-2571",1,"Granulicella aggregans",4.5
22898,MP5ACTX2,"DSM 23128, ATCC BAA-1858",1,"Granulicella arctica",5
22899,MP5ACTX8,"DSM 23137, ATCC BAA-1857",1,"Granulicella mallensis",5
139,OB1010,"DSM 22464, LMG 25275",1,"Granulicella paludicola",4.2
137,TPB6011,"DSM 21001, VKM B-2509",1,"Granulicella pectinivorans",3.8-4.5
136,"T4, TPO-1014","DSM 18704, ATCC BAA-1396, TPO 1014",1,"Granulicella rosea",4.5
22900,S6CTX5A,"DSM 23136, LMG 26174",1,"Granulicella sapmiensis",4.5
