ID,designation_header,strain_number_header,is_type_strain_header,species,pH
168915,,"LMG 30378, CCUG 71558",1,"Achromobacter veterisilvae",9
158560,N.8,"KCTC 33824, JCM 31580",1,"Aeribacillus composti",9
227,1821/02,"DSM 21500, CCUG 52530, CECT 7139, JCM 18035, CIP 109714",1,"Aerococcus suis",9.6
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,"Aeromonas bivalvium",9.0
258,"S181, S-181","DSM 11577, CECT 4342, LMG 16330, CIP 104608, ATCC 51929",1,"Aeromonas encheleia",9.0
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,"Aeromonas fluvialis",9
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,"Aeromonas molluscorum",9
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,"Aeromonas sanarellii",9.0
164664,54-2,"JCM 33824, CCM 8896, KCTC 21120, LMG 31058, NCIMB 15154",1,"Agrilactobacillus yilanensis",11
167490,XY-J91,"MCCC 1K03612, KCTC 72216",1,"Algoriphagus kandeliae",10
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,"Aliidiomarina soli",9
545,4AG,"DSM 15448, ATCC BAA-956, CIP 109217, JCM 13893",1,"Alkalibacillus filiformis",9
547,BM2,"DSM 18495, JCM 14193, CIP 109569",1,"Alkalibacillus silvisoli",9-9.5
22946,3AD-1,"DSM 25751, JCM 18271",1,"Alkalibacterium gilvum",9
134116,M3,"JCM 12662, NCIMB 14024, BCRC 17791, CIP 108873",1,"Alkalibacterium iburiense",09-12
,,,,,10.5
134250,A11,"JCM 14232, NCIMB 14253",1,"Alkalibacterium indicireducens",10.5
,,,,,9-12.3
2246,T143-1-1,"DSM 19183, NBRC 103242, NRIC 0719",1,"Alkalibacterium pelagium",9.25
2244,T117-1-2,"DSM 19181, NBRC 103241, NRIC 0718",1,"Alkalibacterium thalassium",9
22921,,"DSM 26767, CGMCC 1.10369, DLS 13, JCM 17097, NBRC 107572",1,"Alkalicoccus daliensis",9
1235,6AG,"DSM 15402, ATCC BAA-957",1,"Alkalicoccus saliphilus",9
1294,SU1,"DSM 25300, KCTC 13244, NBRC 102646",1,"Alkalihalobacillus trypoxylicola",9
1300,GMBAE72,"DSM 21297, JCM 15719, GMBE 72",1,"Alkalihalophilus marmarensis",10
4267,MLHE-1,"DSM 17681, ATCC BAA-1101",1,"Alkalilimnicola ehrlichii",9.3
134258,AC40,"JCM 14267, NCIMB 14266, CIP 109634",1,"Alkalimonas collagenimarina",9.25
140294,X-07-02,"DSM 26418, VKM B-2746",1,"Alkaliphilus namsaraevii",9.6-10.3
141088,JC227,"KCTC 15343, NBRC 110105",1,"Alkalispirochaeta cellulosivorans",9.0-11.0
,,,,,9.5-10.0
133913,JC133,"KCTC 15220, NBRC 109056",1,"Alkalispirochaeta sphaeroplastigenens",9.75
17816,SC/BZ-SP2,"DSM 24412, ATCC BAA-2172",1,"Alkalitalea saponilacus",9.7
130597,,"DSM 100021, ACCC 14971, HAMBI 3214, CCNWSX 0483",1,"Allorhizobium taibaishanense",12
133618,KYW147,"KCTC 22735, JCM 16339, UCCCB31",1,"Alteraurantiacibacter aestuarii",11.0
140988,BR-75,"CECT 9129, LMG 29518, BR 75, UCCCB41",1,"Altericroceibacterium endophyticum",11.5
140987,CPA5,"CECT 9130, LMG 29519, UCCCB42",1,"Alteriqipengyuania halimionae",11.5
1254,K1-5,"DSM 18675, CCM 7447, NCAIM B002265, CIP 109837",1,"Alteribacter aurantiacus",9.75
164197,M30,"JCM 32118, CGMCC 1.16739, MCC 3010",1,"Alteribacter natronophilus",9.5-10.0
166423,M8JJ-5,"KCTC 49089, CGMCC 1.16390",1,"Amnibacterium flavum",10
1408,JW/BP-GSL-QD,"DSM 23721, ATCC BAA-2118, NBRC 11149",1,"Amphibacillus cookii",>10.5
133954,N314,"JCM 18529, NCIMB 14823",1,"Amphibacillus iburiensis",9
23741,C40,"DSM 27992, JCM 17250, NCIMB 14686",1,"Amphibacillus indicireducens",09-12
,,,,,10
1407,Y1,"DSM 24783, CGMCC 1.5123, JCM 16149",1,"Amphibacillus jilinensis",11.0
,,,,,9.0
23742,J1,"DSM 27991, CGMCC 1.10434, JCM 17099",1,"Amphibacillus marinus",9
1406,Shu-P-Ggiii25-2,"DSM 21624, IAM 15428, JCM 23213, KCTC 13120, MBIC 08269, NBRC 103570",1,"Amphibacillus sediminis",9.5
159864,AU-G6,"CGMCC 4.7351, NBRC 112404",1,"Amycolatopsis antarctica",11
13516,RA45,"DSM 45648, CGMCC 4.5579, JCM 16584",1,"Amycolatopsis arida",9
13265,LC2,"DSM 45164, CCTCC AB 206019, CIP 109736, IAM 15387, JCM 21831",1,"Amycolatopsis echigonensis",9
13266,LC11,"DSM 45165, CCTCC AB 206020, CIP 109735, IAM 15388, JCM 21832",1,"Amycolatopsis echigonensis",9
158267,SCM_MK2-4,"DSM 107509, JCM 32134, TBRC 7186",1,"Amycolatopsis oliviviridis",10
1559,"MS 6","DSM 22531, NCCB 100213, UNIQEM U377",1,"Anaerobacillus alkalidiazotrophicus",9.5
158471,B16-10,"DSM 29790, NCAIM B.02608",1,"Anaerobacillus alkaliphilus",9-10
17964,PAOHA-1,"DSM 14826, UNIQEM 227",1,"Anaerobranca californiensis",9.25
550,d.y.,"DSM 2641, BCRC 17265, LMG 18397, NBRC 15317, CCUG 56041, IFO 15317",1,"Anoxybacillus flavithermus subsp. flavithermus",9
158563,Su22,"VKM B-2510, CECT 8731, DSM 21847",1,"Anoxynatronum buryatiense",9.6
132969,R-53146,"DSM 100903, LMG 28357",1,"Apibacter mensalis",9
166153,DS48-3,"KCTC 52068, CCTCC AB 2018061",1,"Aquisediminimonas profunda",9
166152,CH68-4,"KCTC 62205, CCTCC AB 2018062",1,"Aquisediminimonas sediminicola",9
17916,Sd2-39,"DSM 24032, KMM 3895, NRIC 0759, JCM 16153",1,"Arenicella xantha",9
