ID,designation_header,strain_number_header,is_type_strain_header,species,"Salt concentration"
135892,C4,"CIP 103892",0,"Abiotrophia defectiva",6.5
135893,PE7,"CIP 103893, ATCC 700209",0,"Abiotrophia defectiva",6.5
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,"Abiotrophia defectiva",6.5
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",10
,,,,,6
,,,,,8
3,"B-468, A8","DSM 2324, ATCC 6438, LMG 1592, NCIB 2224, NRRL B-468, JCM 20269, CCM 2363, CIP 102720, IAM 1803, IFO 3170, LMG 1643, NBRC 3170, NCIMB 2224, NCTC 2224, IMET 10613",0,"Acetobacter cerevisiae",10
,,,,,6
,,,,,8
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,"Acetobacter cibinongensis",10
,,,,,6
,,,,,8
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",10
,,,,,6
,,,,,8
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379, JCM 1195",1,"Acetobacter orientalis",10
,,,,,6
,,,,,8
11,,"DSM 11825, LTH 2458, CIP 105762",1,"Acetobacter pomorum",10
,,,,,6
,,,,,8
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,"Acetobacter syzygii",10
,,,,,6
,,,,,8
17779,OS1,"DSM 22491, ATCC BAA-1850",1,"Acetomicrobium hydrogeniformans",10
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",10
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",5
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,"Achromobacter denitrificans",10
,,,,,8
136801,81-75,"CIP 100013",0,"Achromobacter denitrificans",10
,,,,,8
136804,111-75,"CIP 100018",0,"Achromobacter denitrificans",10
136807,Aulb.court,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,"Achromobacter denitrificans",10
,,,,,8
136819,75-75,"CIP 100011",0,"Achromobacter denitrificans",10
,,,,,8
136820,76-75,"CIP 100012",0,"Achromobacter denitrificans",10
,,,,,8
136821,101-75,"CIP 100015",0,"Achromobacter denitrificans",10
,,,,,8
136826,73-75,"CIP 100010",0,"Achromobacter denitrificans",10
,,,,,8
136830,103-75,"CIP 100016",0,"Achromobacter denitrificans",10
,,,,,8
137270,204-83,"CIP 100140",0,"Achromobacter denitrificans",10
,,,,,8
137333,196-83,"CIP 100142",0,"Achromobacter denitrificans",10
,,,,,6
,,,,,8
137336,278.82,"CIP 105844",0,"Achromobacter denitrificans",10
,,,,,8
137545,"318-75, A3b","CIP 100020",0,"Achromobacter denitrificans",10
,,,,,8
138418,,"CIP 102277",0,"Achromobacter denitrificans",10
,,,,,8
