ID,designation_header,strain_number_header,is_type_strain_header,species,Temperature
135892,C4,"CIP 103892",0,"Abiotrophia defectiva",10
135893,PE7,"CIP 103893, ATCC 700209",0,"Abiotrophia defectiva",10
135894,D5,"CIP 103894",0,"Abiotrophia defectiva",10
2,"L 40","DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,"Acetobacter aceti",10
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",10
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,"Acetobacter cibinongensis",10
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",10
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379, JCM 1195",1,"Acetobacter orientalis",10
11,,"DSM 11825, LTH 2458, CIP 105762",1,"Acetobacter pomorum",10
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,"Acetobacter syzygii",10
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,"Achromobacter denitrificans",5
136801,81-75,"CIP 100013",0,"Achromobacter denitrificans",5
136804,111-75,"CIP 100018",0,"Achromobacter denitrificans",5
136807,Aulb.court,"CIP 60.83, CCUG 61949, LMG 1860, JCM 20672, IAM 12595",0,"Achromobacter denitrificans",5
136819,75-75,"CIP 100011",0,"Achromobacter denitrificans",5
136820,76-75,"CIP 100012",0,"Achromobacter denitrificans",5
136821,101-75,"CIP 100015",0,"Achromobacter denitrificans",5
136826,73-75,"CIP 100010",0,"Achromobacter denitrificans",5
136830,103-75,"CIP 100016",0,"Achromobacter denitrificans",5
