ID,designation_header,strain_number_header,is_type_strain_header,species,Temperature
135892,C4,"CIP 103892",0,"Abiotrophia defectiva",45
135893,PE7,"CIP 103893, ATCC 700209",0,"Abiotrophia defectiva",45
135894,D5,"CIP 103894",0,"Abiotrophia defectiva",45
219,,"DSM 9849, ATCC 49176, CIP 103242, SC 10, CCUG 27639",1,"Abiotrophia defectiva",45
175115,3443-3AC,"DSM 108286, VKM B-3415",1,"Aceticella autotrophica",50
2853,EBR-02E-0045,"DSM 19732, NBRC 101661, EBR 45",1,"Acetivibrio clariflavus",45-65
,,,,,55
,,,,,55-60
,,,,,57.5
157972,N2K1,"DSM 107956, CECT 9704",1,"Acetivibrio mesophilus",45
132679,GGR1,"DSM 101079, CECT 9155",1,"Acetivibrio saccincola",45-65
,,,,,55
,,,,,60
164132,,"JCM 31827, DSM 104321",0,"Acetivibrio saccincola",55
2827,CSK1,"DSM 16021, IAM 15070, JCM 21531, NBRC 103399",1,"Acetivibrio straminisolvens",50
,,,,,50.0-55.0
,,,,,<45.0
,,,,,>65.0
2729,,"DSM 1237, ATCC 27405, JCM 9322, NCIMB 10682, CECT 593, IAM 13660, LMG 10435, NBRC 103400, NRRL B-4536, VPI 7372",1,"Acetivibrio thermocellus",55
,,,,,60
2728,LQ8,"DSM 1313",0,"Acetivibrio thermocellus",60
2730,LQR1,"DSM 2360, JCM 9323, ATCC 35609",0,"Acetivibrio thermocellus",60
2731,"JW 20","DSM 4150, ATCC 31549",0,"Acetivibrio thermocellus",60
22965,YS,"DSM 25991",0,"Acetivibrio thermocellus",60
22966,AD2,"DSM 25992",0,"Acetivibrio thermocellus",60
174402,,"DSM 29190, BC 1",0,"Acetivibrio thermocellus",55
2,"L 40","DSM 3508, ATCC 15973, NCIB 8621, CCUG 18122, LMG 1261-t1, LMG 1261 1, CCTM 3043, NBRC 14818, JCM 7641, BCRC 11688, CCM 3620, CECT 298, CGMCC 1.1809, CIP 103111, ICMP 8807, IFO 14818, LMD 23.1, LMG 1261, LMG 1504, NCCB 23001, NCIMB 8621, VTT E-042567, VTT E-97828",1,"Acetobacter aceti",45
12,,"DSM 14362, ATCC 23765, LMG 1625, NCIMB 8894, JCM 17273, CIP 107722, VTT E-042461",1,"Acetobacter cerevisiae",45
3,"B-468, A8","DSM 2324, ATCC 6438, LMG 1592, NCIB 2224, NRRL B-468, JCM 20269, CCM 2363, CIP 102720, IAM 1803, IFO 3170, LMG 1643, NBRC 3170, NCIMB 2224, NCTC 2224, IMET 10613",0,"Acetobacter cerevisiae",45
15,4H-1,"DSM 15549, IFO 16605, JCM 11196, NBRC 16605, NRIC 0482, CIP 107380",1,"Acetobacter cibinongensis",45
13,,"DSM 14337, CIP 108768, LMG 1746, JCM 17274, ATCC 14337, BCRC 17641, VTT E-042462",1,"Acetobacter malorum",45
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379, JCM 1195",1,"Acetobacter orientalis",45
