reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score
Ssal-KRED,Q9UUN9,1.000,342,0,0,1,342,2,343,1.289E-230,696
Ssal-KRED,Q0D1P7,0.388,330,201,0,3,332,3,332,7.031E-73,241
Ssal-KRED,A0A1Y0BRF3,0.352,336,214,0,5,340,6,336,2.131E-58,198
Ssal-KRED,B6HV33,0.344,336,216,0,5,340,6,336,7.385E-58,197
Ssal-KRED,A0A8K1AW51,0.340,340,218,0,3,334,1,340,1.448E-55,190
Ssal-KRED,A0A2I1BT56,0.298,331,231,0,8,337,8,338,2.648E-48,169
Ssal-KRED,Q500U8,0.344,326,201,0,14,339,8,314,2.749E-38,139
Ssal-KRED,Q9UT59,0.326,284,189,0,11,294,3,284,2.335E-37,136
Ssal-KRED,G7IYC1,0.318,329,211,0,11,339,7,317,1.601E-33,125
Ssal-KRED,P83775,0.289,341,235,0,8,338,1,341,3.981E-33,124
Ssal-KRED,G3XMB9,0.310,315,212,0,11,318,2,316,1.813E-32,122
Ssal-KRED,Q9XES5,0.291,290,196,0,10,299,4,280,3.324E-32,121
Ssal-KRED,Q84KP0,0.287,290,197,0,10,299,4,280,8.246E-32,120
Ssal-KRED,Q5XLY0,0.314,288,194,0,14,301,15,298,3.456E-29,112
Ssal-KRED,Q03049,0.297,328,226,0,14,335,5,332,4.670E-29,111
Ssal-KRED,P51110,0.277,322,221,0,10,331,4,310,6.309E-29,111
Ssal-KRED,Q12068,0.292,328,227,0,14,335,3,330,1.151E-28,110
Ssal-KRED,P53111,0.276,316,220,0,14,318,7,322,1.151E-28,110
Ssal-KRED,P51102,0.286,318,216,0,14,331,8,310,1.555E-28,110
Ssal-KRED,O94563,0.325,327,219,0,13,339,4,328,2.101E-28,109
Ssal-KRED,Q7PCC4,0.320,286,190,0,16,301,14,294,2.837E-28,109
Ssal-KRED,Q5FB34,0.320,286,190,0,16,301,14,294,2.837E-28,109
Ssal-KRED,D7U6G6,0.316,286,192,0,16,301,14,294,3.831E-28,109
Ssal-KRED,P53183,0.302,286,196,0,10,291,4,289,3.428E-26,103
Ssal-KRED,P51104,0.267,299,208,0,10,308,21,305,3.428E-26,103
Ssal-KRED,P51103,0.273,293,203,0,14,306,9,288,3.428E-26,103
Ssal-KRED,Q9CA28,0.269,323,224,0,15,337,5,312,8.398E-26,102
Ssal-KRED,P51108,0.275,297,205,0,10,306,9,292,5.026E-25,99
Ssal-KRED,P14720,0.264,293,205,0,14,306,18,297,9.118E-25,98
Ssal-KRED,A0A072VDF2,0.309,326,211,0,11,336,17,323,7.304E-24,96
Ssal-KRED,A0ST44,0.260,335,241,0,12,337,4,338,7.304E-24,96
Ssal-KRED,P51106,0.336,197,124,0,14,210,8,195,3.218E-23,94
Ssal-KRED,P51105,0.268,293,204,0,14,306,9,288,3.218E-23,94
Ssal-KRED,P14721,0.256,298,211,0,9,306,15,299,4.327E-23,93
Ssal-KRED,G7JEE5,0.299,326,212,0,14,339,17,319,7.821E-23,93
Ssal-KRED,A0A2G5ICG8,0.330,203,133,0,12,210,4,206,7.821E-23,93
Ssal-KRED,Q9SAH9,0.299,330,217,0,7,336,1,311,1.498E-21,89
Ssal-KRED,I3PLR3,0.260,288,208,0,11,298,21,302,1.498E-21,89
Ssal-KRED,Q9S9N9,0.289,331,218,0,9,339,8,315,2.700E-21,88
Ssal-KRED,A0A059TC02,0.292,326,217,0,11,336,6,312,3.624E-21,87
Ssal-KRED,Q9SEV0,0.286,242,169,0,16,257,15,252,4.864E-21,87
Ssal-KRED,Q6K9A2,0.315,324,208,0,10,333,14,317,1.175E-20,86
Ssal-KRED,P51109,0.295,191,128,0,25,215,2,183,7.080E-19,80
Ssal-KRED,A0A0D1BUI1,0.320,210,131,0,14,223,10,202,3.040E-18,78
Ssal-KRED,A0A3G9HN61,0.316,206,137,0,10,210,4,209,4.202E-16,72
Ssal-KRED,O22133,0.309,189,130,0,6,194,32,220,7.485E-16,71
Ssal-KRED,Q9Y7K4,0.352,130,84,0,14,143,3,132,1.225E-10,54
