reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction,n_res_plddt,n_res_plddt_bs,median_plddt,median_plddt_bs,avg_plddt,avg_plddt_bs,std_plddt,std_plddt_bs,iqr_plddt,iqr_plddt_bs,p10_plddt,p10_plddt_bs,bindingsite_similarity_score,non_equivalent_residues
Ort-RDM-1_3,KII83904,1.000,336,0,0,1,336,1,336,5.041E-222,672,0.32,0.9978,0.0543166436254978,47.0,38.0,0.8085106382978723,393.0,47.0,0.979,0.985,0.968,0.977,0.032,0.018,0.025,0.014,0.933,0.963,1.0,0.0
Ort-RDM-1_3,KII83927,0.759,336,81,0,1,336,1,336,2.209E-165,509,1.07,0.97245,0.4096510708332062,48.0,40.0,0.8333333333333334,393.0,48.0,0.979,0.978,0.964,0.972,0.04,0.022,0.027,0.022,0.923,0.951,0.7550200803212851,3.0
Ort-RDM-1_3,OTA37140,0.466,332,164,0,4,335,5,313,3.350E-86,280,1.63,0.93849,0.3710766136646271,50.0,35.0,0.7,377.0,50.0,0.977,0.979,0.943,0.967,0.084,0.03,0.049,0.022,0.876,0.924,0.6666666666666666,3.0
Ort-RDM-1_3,ORY90635,0.462,331,176,0,3,333,6,334,8.575E-86,279,1.31,0.95724,0.3253826200962066,49.0,35.0,0.7142857142857143,394.0,49.0,0.977,0.98,0.96,0.971,0.054,0.027,0.023,0.02,0.923,0.947,0.4578313253012048,3.0
Ort-RDM-1_3,KIM80149,0.473,332,172,0,3,334,7,333,1.605E-85,278,1.12,0.95968,0.3411875069141388,52.0,35.0,0.6730769230769231,392.0,52.0,0.976,0.981,0.954,0.974,0.074,0.018,0.026,0.018,0.921,0.944,0.5823293172690763,5.0
Ort-RDM-1_3,OQO01855,0.468,331,171,0,2,332,3,324,6.885E-84,273,1.51,0.94642,0.4616782963275909,51.0,38.0,0.7450980392156863,388.0,51.0,0.983,0.986,0.974,0.982,0.034,0.009,0.017,0.012,0.954,0.968,0.6907630522088354,4.0
Ort-RDM-1_3,OQO17260,0.468,331,171,0,2,332,3,324,4.508E-83,271,1.48,0.94621,0.4947575032711029,50.0,38.0,0.76,388.0,50.0,0.981,0.984,0.97,0.977,0.039,0.016,0.021,0.023,0.944,0.955,0.6947791164658634,3.0
Ort-RDM-1_3,Q9UUN9,0.483,327,169,0,3,329,8,334,4.508E-83,271,1.36,0.93732,0.406152993440628,50.0,37.0,0.74,400.0,50.0,0.987,0.989,0.977,0.985,0.033,0.008,0.01,0.008,0.957,0.978,0.44176706827309237,5.0
Ort-RDM-1_3,PMD38917,0.443,324,179,0,10,333,7,328,4.036E-82,268,1.58,0.94959,0.4943035244941711,51.0,39.0,0.7647058823529411,390.0,51.0,0.982,0.986,0.973,0.981,0.028,0.012,0.018,0.01,0.947,0.964,0.6305220883534136,4.0
Ort-RDM-1_3,ORY53991,0.452,332,179,0,3,330,5,336,6.756E-81,265,1.59,0.93151,0.4218266606330871,48.0,37.0,0.7708333333333334,399.0,48.0,0.985,0.987,0.973,0.982,0.036,0.015,0.014,0.01,0.942,0.973,0.4497991967871486,3.0
Ort-RDM-1_3,KYG41666,0.457,327,174,0,4,330,12,333,4.420E-80,262,1.57,0.92227,0.4569025039672851,49.0,36.0,0.7346938775510204,398.0,49.0,0.983,0.986,0.965,0.979,0.059,0.021,0.02,0.01,0.936,0.963,0.6666666666666666,3.0
Ort-RDM-1_3,KJJ29487,0.414,333,191,0,3,329,7,339,4.703E-75,248,1.69,0.91628,0.497251033782959,47.0,35.0,0.7446808510638298,402.0,47.0,0.982,0.987,0.965,0.981,0.061,0.014,0.017,0.008,0.935,0.964,0.4779116465863454,3.0
Ort-RDM-1_3,OQO11810,0.438,329,169,0,4,332,5,306,6.430E-75,247,1.49,0.94361,0.5025028586387634,44.0,40.0,0.9090909090909092,370.0,44.0,0.969,0.97,0.93,0.961,0.108,0.028,0.048,0.034,0.856,0.923,0.5461847389558233,3.0
Ort-RDM-1_3,KZP19288,0.421,334,192,0,1,334,1,333,7.584E-71,235,1.6,0.93992,0.3553438186645508,47.0,39.0,0.8297872340425532,392.0,47.0,0.969,0.977,0.946,0.965,0.062,0.033,0.048,0.031,0.883,0.929,0.40963855421686746,4.0
Ort-RDM-1_3,EPQ51678,0.399,326,192,0,4,329,17,336,8.206E-69,229,1.8,0.90385,0.3535272777080536,48.0,34.0,0.7083333333333334,401.0,48.0,0.967,0.979,0.924,0.962,0.106,0.037,0.057,0.033,0.789,0.909,0.5060240963855421,4.0
Ort-RDM-1_3,KZP19295,0.415,334,194,0,1,334,1,333,1.532E-68,229,1.25,0.95615,0.3074631690979004,50.0,36.0,0.72,392.0,50.0,0.972,0.979,0.951,0.961,0.059,0.047,0.042,0.036,0.891,0.918,0.37751004016064255,6.0
