reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction,n_res_plddt,n_res_plddt_bs,median_plddt,median_plddt_bs,avg_plddt,avg_plddt_bs,std_plddt,std_plddt_bs,iqr_plddt,iqr_plddt_bs,p10_plddt,p10_plddt_bs,bindingsite_similarity_score,non_equivalent_residues,cavity_volume,cavity_area,cavity_avg_depth,cavity_avg_hydropathy,cavity_frequency_Alipathic_apolar,cavity_frequency_Aromatic,cavity_frequency_Polar_uncharged,cavity_frequency_Negatively_charged,cavity_frequency_Positively_charged,cavity_frequency_Non-standard,cavity_rmsd,cavity_n_points
Ssal-KRED,Q9UUN9,1.0,342,0,0,1,342,2,343,1.289e-230,696,0.79,0.9892,0.3132352232933044,46.0,42.0,0.9130434782608696,391.0,46.0,0.983,0.986,0.969,0.979,0.044,0.014,0.019,0.015,0.942,0.964,1.0,1.0,676.73,453.89,1.84,-0.19,9.0,5.0,14.0,1.0,3.0,0.0,0.313,3122.0
Ssal-KRED,Q0D1P7,0.388,330,201,0,3,332,3,332,7.031e-73,241,1.98,0.93421,0.6120155453681946,44.0,27.0,0.6136363636363636,388.0,44.0,0.971,0.98,0.946,0.971,0.077,0.021,0.034,0.025,0.889,0.947,0.5589519650655022,2.0,684.07,424.07,2.27,-0.18,7.0,6.0,10.0,1.0,3.0,0.0,0.45,3158.0
Ssal-KRED,A0A1Y0BRF3,0.352,336,214,0,5,340,6,336,2.131000000000001e-58,198,1.87,0.92117,0.5087405443191528,42.0,30.0,0.7142857142857143,384.0,42.0,0.963,0.966,0.94,0.959,0.071,0.036,0.044,0.034,0.867,0.926,0.3930131004366812,3.0,239.54,190.69,1.07,-0.37,8.0,3.0,6.0,0.0,1.0,0.0,0.23,1109.0
Ssal-KRED,B6HV33,0.344,336,216,0,5,340,6,336,7.385000000000001e-58,197,1.66,0.93211,0.5434605479240417,42.0,32.0,0.7619047619047619,384.0,42.0,0.963,0.967,0.928,0.953,0.094,0.05,0.048,0.033,0.819,0.915,0.3231441048034934,3.0,233.06,171.77,1.05,-0.32,7.0,3.0,6.0,0.0,1.0,0.0,0.424,1584.0
Ssal-KRED,A0A8K1AW51,0.34,340,218,0,3,334,1,340,1.4480000000000002e-55,190,1.92,0.87394,0.4892229437828064,44.0,39.0,0.8863636363636364,411.0,44.0,0.952,0.961,0.897,0.952,0.135,0.049,0.076,0.041,0.688,0.923,0.3842794759825327,2.0,744.77,441.61,1.84,0.03,10.0,4.0,11.0,1.0,3.0,0.0,0.513,3412.0
Ssal-KRED,A0A2I1BT56,0.298,331,231,0,8,337,8,338,2.648e-48,169,1.92,0.92557,0.6134514212608337,44.0,30.0,0.6818181818181818,390.0,44.0,0.938,0.942,0.901,0.911,0.104,0.073,0.08,0.103,0.739,0.789,0.3580786026200873,4.0,735.48,461.95,2.18,-0.05,8.0,5.0,10.0,0.0,4.0,0.0,0.399,3387.0
Ssal-KRED,Q500U8,0.344,326,201,0,14,339,8,314,2.749e-38,139,2.53,0.86071,0.6350577473640442,40.0,18.0,0.45,374.0,40.0,0.942,0.94,0.914,0.909,0.085,0.096,0.074,0.063,0.833,0.824,0.2576419213973799,6.0,710.86,447.7,2.33,-0.36,10.0,3.0,13.0,1.0,5.0,0.0,0.468,3250.0
Ssal-KRED,Q9UT59,0.326,284,189,0,11,294,3,284,2.335e-37,136,2.61,0.85691,0.779823362827301,46.0,18.0,0.391304347826087,384.0,46.0,0.978,0.984,0.965,0.979,0.045,0.011,0.022,0.016,0.935,0.966,0.2794759825327511,8.0,726.41,489.23,2.32,-0.23,10.0,4.0,8.0,1.0,4.0,0.0,0.504,3259.0
Ssal-KRED,G7IYC1,0.318,329,211,0,11,339,7,317,1.601e-33,125,2.73,0.85188,0.5917737483978271,43.0,17.0,0.3953488372093023,374.0,43.0,0.964,0.972,0.947,0.967,0.058,0.021,0.036,0.019,0.905,0.947,0.296943231441048,5.0,747.79,472.21,2.08,-0.15,10.0,3.0,11.0,0.0,3.0,0.0,0.477,3387.0
Ssal-KRED,P83775,0.289,341,235,0,8,338,1,341,3.981e-33,124,2.86,0.8584,0.5862059593200684,43.0,26.0,0.6046511627906976,389.0,43.0,0.973,0.976,0.958,0.962,0.053,0.035,0.026,0.032,0.916,0.919,0.3100436681222707,7.0,588.82,418.97,1.66,-0.19,9.0,4.0,8.0,1.0,3.0,0.0,0.449,2634.0
Ssal-KRED,G3XMB9,0.31,315,212,0,11,318,2,316,1.813e-32,122,2.7,0.85257,0.5225318074226379,46.0,21.0,0.4565217391304347,386.0,46.0,0.972,0.974,0.944,0.965,0.082,0.028,0.038,0.027,0.886,0.938,0.3624454148471616,8.0,610.85,453.4,2.11,-0.13,12.0,3.0,10.0,1.0,4.0,0.0,0.497,2772.0
Ssal-KRED,Q9XES5,0.291,290,196,0,10,299,4,280,3.324e-32,121,2.74,0.79211,0.68719083070755,45.0,20.0,0.4444444444444444,396.0,45.0,0.968,0.968,0.931,0.944,0.105,0.069,0.049,0.047,0.858,0.888,0.2576419213973799,7.0,790.56,506.84,2.1,-0.29,15.0,4.0,8.0,1.0,3.0,0.0,0.515,3459.0
Ssal-KRED,Q84KP0,0.287,290,197,0,10,299,4,280,8.246e-32,120,2.73,0.79505,0.7583534121513367,49.0,26.0,0.5306122448979592,395.0,49.0,0.97,0.97,0.941,0.952,0.086,0.056,0.042,0.043,0.871,0.912,0.3580786026200873,8.0,801.36,531.7,2.19,-0.25,15.0,4.0,9.0,1.0,3.0,0.0,0.499,3587.0
Ssal-KRED,Q5XLY0,0.314,288,194,0,14,301,15,298,3.456e-29,112,2.72,0.83347,0.3351576030254364,38.0,16.0,0.4210526315789473,390.0,38.0,0.978,0.983,0.961,0.972,0.055,0.034,0.025,0.015,0.928,0.952,0.2314410480349345,4.0,682.13,362.45,1.67,-0.29,12.0,3.0,8.0,1.0,2.0,0.0,0.425,3147.0
Ssal-KRED,Q03049,0.297,328,226,0,14,335,5,332,4.67e-29,111,2.78,0.82568,0.9808119535446168,41.0,19.0,0.4634146341463415,392.0,41.0,0.976,0.978,0.961,0.974,0.046,0.016,0.024,0.019,0.921,0.959,0.1746724890829694,8.0,324.22,248.73,1.37,-0.49,6.0,4.0,8.0,0.0,1.0,0.0,0.599,1959.0
Ssal-KRED,P51110,0.277,322,221,0,10,331,4,310,6.309e-29,111,2.68,0.81807,0.6943196058273315,49.0,20.0,0.4081632653061224,385.0,49.0,0.977,0.979,0.951,0.955,0.078,0.064,0.033,0.029,0.911,0.912,0.3580786026200873,7.0,836.78,541.89,2.12,-0.24,14.0,4.0,10.0,2.0,3.0,0.0,0.488,3704.0
Ssal-KRED,Q12068,0.292,328,227,0,14,335,3,330,1.151e-28,110,2.73,0.83106,0.737987220287323,44.0,31.0,0.7045454545454546,390.0,44.0,0.984,0.987,0.975,0.981,0.025,0.018,0.014,0.006,0.95,0.969,0.4061135371179039,6.0,511.49,408.81,1.6,-0.21,9.0,4.0,8.0,1.0,3.0,0.0,0.522,2298.0
Ssal-KRED,P53111,0.276,316,220,0,14,318,7,322,1.151e-28,110,2.65,0.82769,0.5058133006095886,44.0,16.0,0.3636363636363636,395.0,44.0,0.971,0.971,0.955,0.955,0.051,0.04,0.03,0.029,0.915,0.876,0.3755458515283842,6.0,314.5,255.14,1.27,-0.34,5.0,4.0,6.0,0.0,1.0,0.0,0.558,2046.0
Ssal-KRED,P51102,0.286,318,216,0,14,331,8,310,1.555e-28,110,2.8,0.73324,0.4592476785182953,50.0,10.0,0.2,430.0,50.0,0.94,0.934,0.867,0.868,0.174,0.162,0.117,0.103,0.518,0.517,0.2576419213973799,13.0,714.31,467.91,2.01,-0.05,12.0,3.0,8.0,1.0,5.0,0.0,0.51,3226.0
Ssal-KRED,O94563,0.325,327,219,0,13,339,4,328,2.101e-28,109,2.75,0.85776,0.5982394814491272,51.0,13.0,0.2549019607843137,384.0,51.0,0.971,0.974,0.955,0.959,0.046,0.04,0.033,0.033,0.901,0.905,0.1441048034934497,13.0,919.94,622.33,2.93,-0.02,13.0,7.0,7.0,2.0,6.0,0.0,0.631,4211.0
Ssal-KRED,Q7PCC4,0.32,286,190,0,16,301,14,294,2.837e-28,109,2.75,0.8277,0.3621406257152557,37.0,15.0,0.4054054054054054,386.0,37.0,0.978,0.983,0.956,0.975,0.074,0.023,0.024,0.013,0.924,0.954,0.2882096069868995,2.0,335.23,214.68,1.26,-0.35,9.0,3.0,6.0,0.0,1.0,0.0,0.279,1552.0
Ssal-KRED,Q5FB34,0.32,286,190,0,16,301,14,294,2.837e-28,109,2.71,0.82977,0.6882604360580444,39.0,17.0,0.4358974358974359,386.0,39.0,0.978,0.981,0.956,0.969,0.073,0.03,0.026,0.016,0.927,0.934,0.2576419213973799,4.0,709.99,368.04,1.57,-0.3,12.0,3.0,8.0,1.0,3.0,0.0,0.426,3274.0
Ssal-KRED,D7U6G6,0.316,286,192,0,16,301,14,294,3.831e-28,109,2.72,0.83044,0.3516002297401428,38.0,15.0,0.3947368421052631,386.0,38.0,0.978,0.982,0.957,0.973,0.074,0.025,0.025,0.015,0.93,0.948,0.296943231441048,3.0,542.38,327.78,1.57,-0.27,12.0,3.0,9.0,1.0,3.0,0.0,0.408,2505.0
Ssal-KRED,P53183,0.302,286,196,0,10,291,4,289,3.428e-26,103,2.69,0.82932,0.8820478320121765,47.0,20.0,0.425531914893617,396.0,47.0,0.975,0.979,0.96,0.966,0.046,0.03,0.026,0.021,0.921,0.911,0.4279475982532751,8.0,327.46,248.72,1.41,-0.46,7.0,4.0,6.0,0.0,1.0,0.0,0.525,2096.0
Ssal-KRED,P51104,0.267,299,208,0,10,308,21,305,3.428e-26,103,2.84,0.78143,0.6913332343101501,45.0,20.0,0.4444444444444444,408.0,45.0,0.961,0.965,0.921,0.943,0.11,0.06,0.052,0.051,0.788,0.882,0.2620087336244541,8.0,740.23,470.12,2.11,-0.28,13.0,4.0,7.0,1.0,4.0,0.0,0.461,3344.0
Ssal-KRED,P51103,0.273,293,203,0,14,306,9,288,3.428e-26,103,2.73,0.76411,0.5275829434394836,48.0,17.0,0.3541666666666667,412.0,48.0,0.954,0.946,0.895,0.873,0.154,0.177,0.075,0.065,0.712,0.456,0.2489082969432314,11.0,684.5,434.08,2.34,-0.17,13.0,2.0,9.0,1.0,3.0,0.0,0.539,3089.0
Ssal-KRED,Q9CA28,0.269,323,224,0,15,337,5,312,8.398e-26,102,2.91,0.84407,0.62896329164505,44.0,23.0,0.5227272727272727,369.0,44.0,0.966,0.972,0.952,0.96,0.044,0.03,0.038,0.034,0.905,0.926,0.3100436681222707,7.0,662.69,452.12,1.81,-0.16,10.0,3.0,13.0,1.0,4.0,0.0,0.442,3006.0
Ssal-KRED,P51108,0.275,297,205,0,10,306,9,292,5.0260000000000005e-25,99,2.79,0.77884,0.6602025628089905,47.0,19.0,0.4042553191489361,405.0,47.0,0.951,0.953,0.905,0.882,0.138,0.174,0.06,0.058,0.784,0.599,0.2707423580786026,10.0,585.79,401.34,1.72,-0.32,14.0,2.0,6.0,1.0,3.0,0.0,0.425,2581.0
Ssal-KRED,P14720,0.264,293,205,0,14,306,18,297,9.118e-25,98,2.8,0.72932,1.031603455543518,47.0,7.0,0.1489361702127659,428.0,47.0,0.93,0.93,0.869,0.864,0.158,0.138,0.112,0.152,0.599,0.622,0.0917030567685589,15.0,692.06,408.84,2.26,-0.07,11.0,2.0,8.0,3.0,3.0,0.0,0.568,3178.0
Ssal-KRED,A0A072VDF2,0.309,326,211,0,11,336,17,323,7.304e-24,96,2.9,0.81624,0.5553314089775085,44.0,17.0,0.3863636363636363,390.0,44.0,0.97,0.981,0.932,0.973,0.11,0.018,0.041,0.022,0.876,0.945,0.2794759825327511,7.0,258.34,184.14,1.2,-0.32,7.0,2.0,6.0,0.0,1.0,0.0,0.583,1710.0
