reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score
Ssal-KRED,Q9UUN9,1.000,342,0,0,1,342,2,343,2.991E-230,696
Ssal-KRED,ORY53991,0.539,339,154,0,6,340,4,342,1.737E-110,351
Ssal-KRED,ORY90635,0.498,336,167,0,5,340,4,337,3.256E-104,332
Ssal-KRED,KJJ29487,0.457,338,180,0,4,335,4,341,2.589E-93,301
Ssal-KRED,KIM80149,0.468,328,171,0,7,334,7,329,2.261E-86,281
Ssal-KRED,KII83904,0.481,328,170,0,7,334,3,330,2.261E-86,281
Ssal-KRED,PMD38917,0.427,323,183,0,13,335,6,326,1.814E-84,275
Ssal-KRED,KZP19288,0.434,329,185,0,6,334,2,329,4.430E-78,257
Ssal-KRED,KYG41666,0.421,328,186,0,8,335,12,334,2.892E-77,254
Ssal-KRED,KZP19295,0.422,329,189,0,6,334,2,329,1.232E-75,250
Ssal-KRED,KII83927,0.449,329,181,0,7,335,3,331,1.684E-75,249
Ssal-KRED,OQO01855,0.409,331,190,0,8,338,5,326,4.668E-73,242
Ssal-KRED,OQO17260,0.406,331,191,0,8,338,5,326,6.379E-73,242
Ssal-KRED,OTA37140,0.390,332,188,0,6,337,3,311,2.706E-71,237
Ssal-KRED,EPQ51678,0.375,329,201,0,8,336,17,339,2.793E-66,222
Ssal-KRED,OQO11810,0.379,331,188,0,8,338,5,308,1.041E-63,215
Ssal-KRED,KNG79871,0.366,325,205,0,8,332,8,331,2.651E-63,214
Ssal-KRED,KZP30036,0.379,267,163,0,71,334,1,267,1.160E-54,188
Ssal-KRED,PWN99435,0.326,345,227,0,3,340,1,345,1.214E-52,183
Ssal-KRED,PYH81298,0.302,330,227,0,8,337,13,338,4.994E-51,178
Ssal-KRED,POY72851,0.328,338,223,0,7,339,3,340,1.609E-43,156
Ssal-KRED,EEQ37269,0.328,322,214,0,14,335,4,322,1.619E-41,150
