reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction
Ssal-KRED,Q9UUN9,1.0,342,0,0,1,342,2,343,1.289e-230,696,0.54,0.99151,0.2740626037120819,47.0,41.0,0.8723404255319149
Ssal-KRED,Q0D1P7,0.388,330,201,0,3,332,3,332,7.031e-73,241,1.92,0.93721,0.4569762647151947,45.0,33.0,0.7333333333333333
Ssal-KRED,A0A1Y0BRF3,0.352,336,214,0,5,340,6,336,2.1310000000000006e-58,198,1.75,0.92457,0.48145487904548645,46.0,32.0,0.6956521739130435
Ssal-KRED,B6HV33,0.344,336,216,0,5,340,6,336,7.385000000000001e-58,197,1.71,0.9278,0.5208806991577148,43.0,31.0,0.7209302325581395
Ssal-KRED,A0A8K1AW51,0.34,340,218,0,3,334,1,340,1.4480000000000002e-55,190,1.97,0.87221,0.503821611404419,46.0,39.0,0.8478260869565217
Ssal-KRED,A0A2I1BT56,0.298,331,231,0,8,337,8,338,2.648e-48,169,1.86,0.922,0.55448317527771,45.0,29.0,0.6444444444444445
Ssal-KRED,Q500U8,0.344,326,201,0,14,339,8,314,2.749e-38,139,2.6,0.86042,0.3009384274482727,39.0,14.0,0.358974358974359
Ssal-KRED,Q9UT59,0.326,284,189,0,11,294,3,284,2.335e-37,136,2.64,0.85579,0.7609299421310425,47.0,18.0,0.3829787234042553
Ssal-KRED,G7IYC1,0.318,329,211,0,11,339,7,317,1.601e-33,125,2.67,0.85289,0.9133259654045105,43.0,30.0,0.6976744186046512
Ssal-KRED,P83775,0.289,341,235,0,8,338,1,341,3.981e-33,124,2.79,0.85702,0.8249843120574951,43.0,20.0,0.46511627906976744
Ssal-KRED,G3XMB9,0.31,315,212,0,11,318,2,316,1.813e-32,122,2.73,0.85277,0.8304083347320557,48.0,27.0,0.5625
Ssal-KRED,Q9XES5,0.291,290,196,0,10,299,4,280,3.324e-32,121,2.69,0.79608,0.71466463804245,43.0,20.0,0.46511627906976744
Ssal-KRED,Q84KP0,0.287,290,197,0,10,299,4,280,8.246e-32,120,2.72,0.79515,0.6730220317840576,50.0,20.0,0.4
Ssal-KRED,Q5XLY0,0.314,288,194,0,14,301,15,298,3.456e-29,112,2.8,0.82935,0.38336795568466187,38.0,16.0,0.42105263157894735
Ssal-KRED,Q03049,0.297,328,226,0,14,335,5,332,4.67e-29,111,2.76,0.82582,0.8824313879013062,42.0,18.0,0.42857142857142855
Ssal-KRED,P51110,0.277,322,221,0,10,331,4,310,6.309e-29,111,2.76,0.82187,0.7150953412055969,52.0,21.0,0.40384615384615385
Ssal-KRED,Q12068,0.292,328,227,0,14,335,3,330,1.151e-28,110,2.74,0.82917,0.7619941234588623,44.0,30.0,0.6818181818181818
Ssal-KRED,P53111,0.276,316,220,0,14,318,7,322,1.151e-28,110,2.62,0.82801,0.4651294946670532,43.0,12.0,0.27906976744186046
