reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction,n_res_plddt,n_res_plddt_bs,median_plddt,median_plddt_bs,avg_plddt,avg_plddt_bs,std_plddt,std_plddt_bs,iqr_plddt,iqr_plddt_bs,p10_plddt,p10_plddt_bs,bindingsite_similarity_score,non_equivalent_residues
Ort-RDM-1_3,KII83904,1.0,336,0,0,1,336,1,336,5.041E-222,672,0.32,0.9978,0.0543166436254978,47.0,38.0,0.8085106382978723,393.0,47.0,0.9789999723434448,0.9850000143051147,0.9679999947547913,0.9769999980926514,0.03200000151991844,0.017999999225139618,0.025,0.014,0.933,0.963,1.0,0.0
Ort-RDM-1_3,KII83927,0.759,336,81,0,1,336,1,336,2.209E-165,509,1.07,0.97245,0.4096510708332062,48.0,40.0,0.8333333333333334,393.0,48.0,0.9789999723434448,0.9779999852180481,0.9639999866485596,0.972000002861023,0.03999999910593033,0.02199999988079071,0.027,0.022,0.923,0.951,0.7777777777777778,1.0
Ort-RDM-1_3,OTA37140,0.466,332,164,0,4,335,5,313,3.350E-86,280,1.63,0.93849,0.3710766136646271,50.0,35.0,0.7,377.0,50.0,0.9769999980926514,0.9789999723434448,0.9430000185966492,0.9670000076293945,0.08399999886751175,0.029999999329447746,0.049,0.022,0.876,0.924,0.6444444444444445,3.0
Ort-RDM-1_3,ORY90635,0.462,331,176,0,3,333,6,334,8.575E-86,279,1.31,0.95724,0.3253826200962066,49.0,35.0,0.7142857142857143,394.0,49.0,0.9769999980926514,0.9800000190734863,0.9599999785423279,0.9710000157356262,0.05400000140070915,0.027000000700354576,0.023,0.02,0.923,0.947,0.43478260869565216,2.0
Ort-RDM-1_3,KIM80149,0.473,332,172,0,3,334,7,333,1.605E-85,278,1.12,0.95968,0.3411875069141388,52.0,35.0,0.6730769230769231,392.0,52.0,0.9760000109672546,0.9810000061988831,0.9539999961853027,0.9739999771118164,0.07400000095367432,0.017999999225139618,0.026,0.018,0.921,0.944,0.5116279069767442,5.0
Ort-RDM-1_3,OQO01855,0.468,331,171,0,2,332,3,324,6.885E-84,273,1.51,0.94642,0.4616782963275909,51.0,38.0,0.7450980392156863,388.0,51.0,0.9829999804496765,0.9860000014305115,0.9739999771118164,0.9819999933242798,0.03400000184774399,0.008999999612569809,0.017,0.012,0.954,0.968,0.6363636363636364,4.0
Ort-RDM-1_3,OQO17260,0.468,331,171,0,2,332,3,324,4.508E-83,271,1.48,0.94621,0.4947575032711029,50.0,38.0,0.76,388.0,50.0,0.9810000061988831,0.984000027179718,0.9700000286102295,0.9769999980926514,0.039000000804662704,0.01600000075995922,0.021,0.023,0.944,0.955,0.6666666666666666,3.0
Ort-RDM-1_3,Q9UUN9,0.483,327,169,0,3,329,8,334,4.508E-83,271,1.36,0.93732,0.406152993440628,50.0,37.0,0.74,400.0,50.0,0.9869999885559082,0.9890000224113464,0.9769999980926514,0.9850000143051147,0.032999999821186066,0.00800000037997961,0.01,0.008,0.957,0.978,0.45454545454545453,3.0
Ort-RDM-1_3,PMD38917,0.443,324,179,0,10,333,7,328,4.036E-82,268,1.58,0.94959,0.4943035244941711,51.0,39.0,0.7647058823529411,390.0,51.0,0.9819999933242798,0.9860000014305115,0.9729999899864197,0.9810000061988831,0.02800000086426735,0.012000000104308128,0.018,0.01,0.947,0.964,0.6046511627906976,4.0
Ort-RDM-1_3,ORY53991,0.452,332,179,0,3,330,5,336,6.756E-81,265,1.59,0.93151,0.4218266606330871,48.0,37.0,0.7708333333333334,399.0,48.0,0.9850000143051147,0.9869999885559082,0.9729999899864197,0.9819999933242798,0.035999998450279236,0.014999999664723873,0.014,0.01,0.942,0.973,0.5555555555555556,1.0
