DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Similarity
COLOR	#ff0000
DATA
Sporidiobolus_salmonicolor_Ssal-KRED	#59C959	High (100.0%)
Acaromyces_ingoldii_PWN92638	#87CEEB	Low (34.5%)
Acaromyces_ingoldii_PWN91087	#87CEEB	Low (30.3%)
Acaromyces_ingoldii_PWN89756	#905799	Far distant (29.0%)
Acaromyces_ingoldii_PWN89932	#87CEEB	Low (30.4%)
Acaromyces_ingoldii_PWN90749	#87CEEB	Low (30.6%)
Acaromyces_ingoldii_PWN88928	#905799	Far distant (29.7%)
Acaromyces_ingoldii_PWN88964	#905799	Far distant (29.0%)
Acaromyces_ingoldii_PWN87650	#905799	Far distant (29.8%)
Acaromyces_ingoldii_PWN86898	#87CEEB	Low (35.7%)
Acaromyces_ingoldii_PWN86719	#905799	Far distant (28.5%)
Acaromyces_ingoldii_PWN86503	#87CEEB	Low (34.1%)
Acidomyces_richmondensis_KYG46134	#87CEEB	Low (34.8%)
Acidomyces_richmondensis_KYG43427	#905799	Far distant (27.3%)
Acidomyces_richmondensis_KYG48863	#87CEEB	Low (31.8%)
Acidomyces_richmondensis_KYG42858	#87CEEB	Low (35.8%)
Acidomyces_richmondensis_KYG41666	#EAFF80	Medium (41.5%)
Acremonium_chrysogenum_KFH46759	#87CEEB	Low (36.4%)
Acremonium_chrysogenum_KFH40563	#87CEEB	Low (34.3%)
Acremonium_chrysogenum_KFH46010	#87CEEB	Low (31.5%)
Acremonium_chrysogenum_KFH44900	#EAFF80	Medium (42.2%)
Acremonium_chrysogenum_KFH43080	#87CEEB	Low (37.6%)
Agaricus_bisporus_EKM78748	#87CEEB	Low (33.0%)
Agaricus_bisporus_EKM78749	#87CEEB	Low (37.3%)
Agaricus_bisporus_EKM78750	#87CEEB	Low (35.3%)
Agaricus_bisporus_EKM75201	#87CEEB	Low (33.6%)
Alternaria_alternata_OAG25695	#87CEEB	Low (31.7%)
Alternaria_alternata_OAG25976	#905799	Far distant (29.2%)
Alternaria_alternata_OAG21932	#87CEEB	Low (34.6%)
Alternaria_alternata_OAG18779	#905799	Far distant (29.7%)
Alternaria_alternata_OAG18649	#87CEEB	Low (34.2%)
Alternaria_alternata_OAG17418	#87CEEB	Low (38.0%)
Alternaria_alternata_OAG17370	#87CEEB	Low (36.0%)
Alternaria_alternata_OAG16194	#87CEEB	Low (33.0%)
Alternaria_alternata_OAG16300	#87CEEB	Low (37.5%)
Alternaria_alternata_OAG16341	#87CEEB	Low (35.9%)
Alternaria_alternata_OAG14814	#87CEEB	Low (30.9%)
Amanita_muscaria_KIL64869	#87CEEB	Low (32.5%)
Amanita_muscaria_KIL64303	#87CEEB	Low (32.6%)
Amanita_muscaria_KIL64304	#87CEEB	Low (32.4%)
Amanita_muscaria_KIL64305	#87CEEB	Low (32.6%)
Amanita_muscaria_KIL64306	#87CEEB	Low (32.6%)
Amanita_muscaria_KIL60764	#905799	Far distant (25.4%)
Amanita_muscaria_KIL60765	#EAFF80	Medium (46.2%)
Amanita_muscaria_KIL60769	#87CEEB	Low (31.9%)
Amanita_muscaria_KIL60770	#87CEEB	Low (34.8%)
Amanita_thiersii_PFH47275	#87CEEB	Low (33.5%)
Amanita_thiersii_PFH46935	#87CEEB	Low (36.6%)
Amanita_thiersii_PFH46894	#87CEEB	Low (37.0%)
Amanita_thiersii_PFH46271	#87CEEB	Low (34.4%)
Amanita_thiersii_PFH46280	#87CEEB	Low (35.9%)
Amorphotheca_resinae_PSS27269	#87CEEB	Low (34.8%)
Amorphotheca_resinae_PSS25784	#87CEEB	Low (30.2%)
Amorphotheca_resinae_PSS22937	#87CEEB	Low (35.1%)
Anthracocystis_flocculosa_EPQ27129	#905799	Far distant (25.3%)
Anthracocystis_flocculosa_EPQ27590	#87CEEB	Low (36.4%)
Armillaria_gallica_PBL04432	#905799	Far distant (28.6%)
Armillaria_gallica_PBL02255	#87CEEB	Low (32.4%)
Armillaria_gallica_PBK98482	#905799	Far distant (9.3%)
Armillaria_gallica_PBK98487	#905799	Far distant (27.5%)
Armillaria_gallica_PBK97791	#87CEEB	Low (31.5%)
Armillaria_gallica_PBK93568	#87CEEB	Low (32.3%)
Armillaria_gallica_PBK92065	#87CEEB	Low (33.2%)
